title,company,city,contract_type,salary,description
Expert Machine learning / Data Scientist H/F,OSO-AI,29280 Plouzané, -  CDI,30 000 € - 60 000 € par an,"OSO-AI met en application l’Intelligence Artificielle dans le domaine du médico-social et de la santé. Nous sommes aujourd’hui une vingtaine et serons 30 d’ici 2 ans.Nous développons des services et des produits qui aident les personnes fragiles, et ceux qui les accompagnent. Notre ambition est d’améliorer la société.Nous souhaitons que les salariés soient impliqués dans la vie de l’entreprise. Nous avons mis en place la transparence totale sur les informations, et les décisions, pour que chacun puisse s’engager, et contribuer activement.Nous rencontrons tous les jours de nouveaux problèmes, souvent plus complexes que ceux de la veille. Pour y répondre, nous innovons, avec audace.L’évolution de votre rôle au sein de l’entreprise dépend de vous et les opportunités sont nombreuses. Un mécanisme de BSPCE qui fait bénéficier les salariés des réussites de l’entreprise est en place.ORGANISATIONLa crise sanitaire a confirmé notre volonté de privilégier le travail à distance. Nous mettons en place les outils et la culture qui permettent à chacun, où qu’il soit et selon ses horaires, de contribuer pleinement au développement de nos services. Cette liberté requiert, nous en sommes conscients, une autonomie et une maturité qui ne sont pas courantes.DETAIL DU POSTEDévelopper des modèles pour traiter le signal sonore et les séries temporelles.Essayer des modèles à l’état de l’art et les adapter.Définir les besoins avec les autres membresEtre support, force de proposition et définir les procédures et documentation, indispensables dans un environnement distribuéCOMPÉTENCES ATTENDUESMaîtrise des concepts fondamentaux de l’optimisation, des statistiques, de la modélisation probabiliste, du data mining et du machine learning. Des connaissances sur le traitement du signal et/ou sur la théorie de l’information peuvent être un plus.Bon niveau en algorithmique et en implémentation numérique.Maîtriser python, avoir déjà utilisé une bibliothèque de data science comme Scikit-Learn, savoir utiliser un outil de calcul tensoriel (dans l’idéal, maîtriser Pytorch et avoir déjà utilisé Tensorflow).Comprendre en profondeur les publications scientifiques, s’approprier les concepts.Maitriser les développements collaboratifs et les outils qui s’y rapportent (gestion de versions et environnements virtuels pour la reproductibilité, travail à distance sur un serveur, ....)Statut : CadreType d'emploi : CDISalaire : 30 000,00€ à 60 000,00€ par anHoraires :Travail en journéeTélétravail:OuiPrécautions contre le COVID-19:Processus de recrutement à distance"
Data Scientist,Euler Hermes Group,Paris (75),-,-,"The role's mission is to unlock valuable and predictive insights that will influence our business decisions and accelerate our competitive advantage and transform EH into a data driven company.
Perform machine learning / big data activities:
- Data quality assessment, - exploration and -profiling
Design and development of analytic data setsStatistical analysis and machine learning modellingApplication of new types of algorithms for predictive modelling, segmentation, forecasting, and optimizationRapid prototyping to demonstrate value of Big Data use casesPresent research and insights. Generate reports, annotated code, and other projects artifacts to document, archive, and communicate your work and outcomes Research, develop, implement, measure and take ownership of predictive modelsPerform statistical analyses and ""deep dives"" into the data, and present and discuss solutions with business partners. Share and discuss findings with team membersImplement, produce and monitor models
Implement, test and take ownership of predictive models. Supervise the production of new algorithms into operational processes, measure the results and improve continuously.Develop specific tools, processes and reportings or data visualizations to deliver a high level of service of the solution implemented and measure their impacts on business
Allianz Group is one of the most trusted insurance and asset management companies in the world. Caring for our employees, their ambitions, dreams and challenges, is what makes us a unique employer. Together we can build an environment where everyone feels empowered and has the confidence to explore, to grow and to shape a better future for our customers and the world around us. Join us. Let’s care for tomorrow.

We at Allianz believe in a diverse and inclusive workforce and are proud to be an equal opportunity employer. We encourage you to bring your whole self to work, no matter where you are from, what you look like, who you love or what you believe in.

 Euler Hermes, the world’s leading provider of credit insurance services, helps its customers around the globe to trade wisely and develop their business safely. With 6,000 employees from more than 70 nationalities, in over 50 countries, Euler Hermes offers a complete range of services for the management of B-to-B trade receivables.
Euler Hermes has developed a credit intelligence network to analyze the financial stability of 40+ million businesses across the globe. Euler Hermes, a company of Allianz, is rated AA by Standard & Poor’s.
At Euler Hermes, we are committed to support our employees in every step of their professional journey, provide tailor-made development programs and open gateways to international opportunities. We encourage them to take ownership and accountability, and to dare to make a difference!
For more information visit http://www.eulerhermes.com/

 If you are interested in the position above and think you have the right profile please follow the online application process. For more detailed information on the company and our career opportunities please go to our website: http://www.eulerhermes.com/careers/."
Data Scientist SmartCity / infrastructures (35) F/H,Eiffage Énergie Systèmes,Cesson-Sévigné (35),CDI,-,"Dans un contexte d’accroissement d’activité, nous recrutons pour l’entité Eiffage Énergie Systèmes-Maine Bretagne, spécialisée automatisme et informatique industrielle et située à Cesson Sévigné (35) un(e) :
Data Scientist SmartCity/ infrastructures (35) F/H
CDI

VOS MISSIONS
Ayant pour volonté d’élaborer le monde de demain tout en s’adaptant à l’évolution numérique, notre agence bretonne recrute un futur collaborateur pour accompagner nos clients dans leurs projets numériques (gestion énergétique des bâtiments, parkings connectés…)
S’inscrivant dans une démarche de satisfaction clients, vous analysez de manière pointue le « big data » avec pour objectif principal de répondre aux problématiques liées aux traitements de la donnée et leurs impacts. Ainsi, vous aurez pour principales missions :
Identifier les informations pertinentes dans les sources de données hétérogènes et utiliser les méthodologies statistiques appropriées afin de répondre à des problématiques datas
S'assurer de l'intégrité et de la bonne utilisation de la data
Identifier de nouvelles sources de données pertinentes
Organiser les données massives, structurées ou non structurées internes, et construire les jeux de données nécessaires à la modélisation (Data Virtualisation)
Créer des algorithmes permettant d’identifier des informations prévisionnelles à partir d’une grande quantité de données, en fonction d’un objectif défini ;
Développer des algorithmes d’apprentissage et des scénarios prédictifs ;
Etudier des solutions permettant de rendre ces données accessibles et sécurisées
Mise en production de modèle d'Intelligence Artificielle pour de l'apprentissage supervisée et non supervisée.

Nous rejoindre sur l’agence de Cesson Sévigné c’est aussi :
Partager nos valeurs et une ambiance de travail conviviale,
Opter pour un parcours d’intégration complet,
Mener, de manière autonome, des projets diversifiés tout en bénéficiant de l’aide de collaborateurs experts.

VOTRE PROFIL
Formation :
Issu(e) d’une formation Bac +4 / +5 de type école d’ingénieur ou master informatique avec une spécialisation en Data Sciences, Mathématiques appliquées ou informatique décisionnelle (INSA, ENSIMAG, ENSEEIHT, IMT Atlantique, ...) ; L’expérience et la personnalité constituant néanmoins les paramètres déterminants.
Expérience :
Vous justifiez d’une première expérience de Data Scientist acquise dans le domaine des bâtiments/ infrastructures sera apprécié. Débutant accepté.
Compétences :
Vous maîtrisez ces environnements logiciels, ou équivalent : Python (librairies : tensorflow (keras) ou PyTorch, Scikit-Learn, pandas, statsmodels, ...), R, Spark, docker, git, systèmes UNIX/Linux.
Connaissances en Machine Learning et Deep Learning.
Connaissances en base de données NoSQL, en API et en DevOps appréciées.
Niveau d’anglais professionnel (lu, écrit, parlé) requis.
Etant autonome, organisé et dynamique, vous souhaitez mettre votre capacité d’initiative et votre sens du relationnel au profit d'une organisation alliant esprit PME et puissance d'un groupe. Conscient ""qu'il n'est de richesse que d'hommes"", le groupe s'inscrit dans une démarche de management bienveillant et offre à ses collaborateurs, des perspectives d'évolution et des avantages sociaux (RTT, participation et intéressement ...).

Egalité professionnelle, diversité et inclusion: nous accueillons et valorisons vos talents.
A vous d’inventer un avenir à taille humaine.
#HumanPerspective
Rejoignez-nous !"
Data Scientist junior (H/F),Natixis,75013 Paris,CDI,-,"Description de l’entreprise
Natixis Assurances conçoit et gère une offre complète de solutions d’assurances de personnes et d’assurances non-vie pour les particuliers grand public et gestion privée, les professionnels, les entreprises, les professions libérales, les agriculteurs et les associations.
Filiale à 100 % de Natixis, banque de financement, de gestion, d’assurance et de services financiers du Groupe BPCE, 2e groupe bancaire en France, Natixis Assurances :
Distribue aujourd’hui ses produits d’assurances de personnes (assurance vie, épargne, transmission de patrimoine, retraite, assurance décès, assurance dépendance et assurance des emprunteurs) dans les réseaux des Banques Populaires et des Caisses d’Epargne.
Commercialise ses contrats d’assurances non-vie (assurance automobile, assurance habitation, complémentaire santé, garantie des accidents de la vie, assurances mobiles, protection juridique, assurance parabancaire, télésurveillance, assurance des professionnels) principalement dans les réseaux Banque Populaire et Caisse d’Epargne


Poste et missions
Au sein de Natixis Assurances - Métier Non-Vie, vous intervenez sur les projets de l’entreprise faisant appel à la Data Science en intégrant le Data Innovation Lab - un accélérateur au sein de l'entreprise, qui a pour vocation l'excellence technique et opérationnelle.
Au sein d’une équipe de Data scientists, votre mission consiste à mettre en œuvre les cas d’usage identifiés sur la road map de la data innovation. Vous développez des PoCs et les conduisez à l’industrialisation.
Vous travaillez sur des problématiques d’apprentissage supervisé ou non, de NLP, de computer vision, etc., à partir de données structurées très riches, de photos, de mails ou encore d’audios, ceci afin de répondre à différents cas d’usage au service des métiers :
Cas d’usage pour la création d’offres d’assurance et/ou de services innovants ;
Cas d’usage permettant d’optimiser les processus de gestion de l’entreprise
Vos activités principales sont les suivantes :
Intervenir sur des projets de machine learning
Analyser des données, concevoir et mettre en œuvre de nouveaux algorithmes et traitements statistiques
Contribuer au déploiement en production des cas d’usage
Piloter les projets de recherche avec les autres directions de l’entreprise depuis l'étude du produit jusqu'à sa mise en œuvre industrielle
Assurer la veille technologique, la recherche et le développement de nouveaux outils ou procédés afin de favoriser l'innovation et la compétitivité de l'entreprise
Réaliser des études :
Identifier les besoins et la problématique des directions métiers en participant au cadrage des projets
Définir les méthodes, les moyens d'étude de conception, de développement de nouveaux outils ou procédés, afin de favoriser l'innovation et la compétitivité de l'entreprise
Modéliser
Prototyper les outils de prédiction
Déployer en production les cas d’usage
Animer et suivre le déroulement des projets :
Participer à différents groupes de travail internes et les animer
Participer à l’identification des besoins en relation avec les différents acteurs du projet
Accompagner les utilisateurs dans leur formalisation du besoin et les conseiller sur les approches de faisabilité.
Former et accompagner les métiers

Profil et compétences requises
De formation supérieure, vous avez une experience d'au moins 5 ans en Data Science et vous souhaitez développer vos compétences en modélisant des cas d’usages variés que vous contribuerez à déployer en production.

Vous connaissez les fonctions, les dérivées, les statistiques, l’algèbre linéaire, les matrices ainsi que les bases en probabilités et avez une première expérience en programmation. Vous disposez également d'un niveau d'anglais professionnel.
Vos qualités relationnelles vous permettent de gérer les interactions avec les autres directions et vous êtes reconnu pour votre excellente communication orale et écrite (présentations écrites et orales des travaux aux comités transversaux de l’entreprise). De plus, le travail en équipe vous anime.

Nous vous proposons de rejoindre une structure dynamique en pleine croissance et pour laquelle la donnée est au cœur de son activité.

Situation : 88 Avenue de France, 75013 PARIS"
Data Scientist H/F,PREDITIC,33000 Bordeaux, -  CDI,2 800 € - 3 800 € par mois,"Notre société PREDITIC a initié un programme de R&D dans le cadre de son développement et recherche un Data Scientist confirmé pour participer à ce programme et renforcer l’équipe déjà constituée. A travers l’analyse de séries temporelles issues d’équipements ou d’installations, le programme de R&D a pour objectif de concevoir, implémenter et déployer des outils numériques d’aide à la décision pour la maintenance conditionnelle dans le domaine industriel.Vous souhaitez donner un nouvel élan à votre carrière et participer à un programme de R&D ambitieux autour de l’analyse des séries temporelles et du développement logiciel en appliquant des techniques récentes d’Intelligence Artificielle (Statistiques avancées, Machine Learning pour la détection d’anomalies / la prédiction).Titulaire d’un master en Informatique ou d’un diplôme d’une école d’ingénieur spécialité IA / Analyse de données, vous êtes à la recherche d’un nouveau défi au sein d’une entreprise dynamique, innovante et issue de la Recherche Publique. Une expérience professionnelle significative en tant que Data Scientist (de préférence sur des projets dans le milieu industriel sur la détection de défaillances et/ou l’anticipation de l’état d’équipements/installations) est exigée ainsi qu’une bonne maîtrise écrite et orale du français et de l'anglais.Nous recherchons des profils organisés, sérieux, autonomes et disposant de qualités humaines et relationnelles avérées. Pour nous, l’esprit d’équipe compte davantage que les compétences individuelles.Il est nécessaire de posséder et de maitriser parfaitement :- De solides connaissances en mathématiques appliquées, statistiques et probabilités ;- Des connaissances théoriques sur les algorithmes classiques de Machine Learning (arbres de décision, classification, clustering, régressions, etc..) ;- La conception de modèles pour la préparation, la structuration et l’analyse de données sur des séries temporelles ;- Une expertise dans l’entrainement et l’exploitation de réseaux de neurones (CNN, RNN) ;- Les langages : Python, R ;- L’utilisation de frameworks connus : TensorFlow, Scikit-learn, Keras, Jupyter, ... ;- Une capacité à faire de la veille technologique sur les techniques d’IA et en particulier de Machine Learning.Conscient des enjeux de l’entreprise, le candidat ou la candidate doit également avoir une sensibilité prononcée sur les questions UI/UX pour les interfaces de présentation et de visualisation de gros volumes de données.Date limite de candidature : 30/10/2021Statut : CadreDate de début prévue : 15/11/2021Type d'emploi : CDISalaire : 2 800,00€ à 3 800,00€ par moisAvantages :Participation au TransportHoraires :Du Lundi au VendrediTravail en journéeRémunération supplémentaire :Prime annuelleMesures COVID-19:Toutes les obligations liées au protocole sanitaire dans les entreprises sont respectées.Télétravail:Non"
Data Scientist H/F,Crédit Agricole CIB,Montrouge (92),"Apprentissage, Contrat pro",-,"Description du poste
Dans le cadre de sa transformation, la direction des marchés de capitaux (GMD) se dote d’une structure pour piloter l’innovation.
Au sein de cette structure, une équipe dédiée aux applications de l’Intelligence Artificielle pour les marchés de capitaux est créée. Cette équipe a vocation à intervenir dans tous les secteurs où les techniques d’IA ouvrent de nouvelles opportunités ciblées par le plan de transformation Global Markets Division (GMD). Elle devra s’appuyer sur les ressources quantitatives en place et agir en étroite collaboration avec les partenaires de GMD dans les directions des risques, IT et opération notamment.
Vos principales missions seront les suivantes :Explorer différentes techniques d’intelligence artificielle au service des métiers de finance de marché.Appliquer les techniques de pricing d’instruments financier par Machine Learning pour pallier les limitations des méthodes usuelles, notamment les temps de calcul. Vous pouvez vous renseigner sur cette technique à partir de l’article suivant: « Machine learning solutions to challenges in finance: An application to the pricing of financial products », Lirong Gana, HuamaoWangb, ZhaojunYang, 2020)
Vous effectuerez votre alternance dans un environnement international, aux côtés de votre tuteur qui vous accompagnera dans votre apprentissage et dans le développement de votre réseau professionnel.
Rejoindre Crédit Agricole CIB, c’est profiter d’une communauté importante de jeunes, évoluer sur un campus moderne offrant de nombreux services (boulangerie, salle de sport, etc.), bénéficier d’un suivi RH (matinée d’accueil, suivi régulier, etc.) et d’opportunités en alternance, VIE, CDD et CDI.
Sachez que Crédit Agricole CIB s’engage en faveur de l’insertion des personnes en situation de handicap, ainsi ce poste est ouvert à toutes et à tous.
Si vous vous projetez sur ce poste, alors n’attendez plus et postulez !
Merci d’indiquer en titre de votre CV votre rythme d’alternance.
Critères de candidature
Date de prise de fonction
03/01/2022
Durée
12 mois
Poste avec management
Non
Cadre / Non Cadre
Non cadre
Niveau d'étude minimum
Bac + 5 / M2 et plus
Formation / Spécialisation
Et si c'était vous ? Formation : Université ou Ecoles de commerce/ingénieur

Spécialisation : Data Science
Une formation en Machine Learning, Deap Learning ou Intelligence Artificielle est souhaitable.
Niveau d'expérience minimum
0 - 2 ans
Soft skills
Hard skills:
Bonnes compétences et forte appétence à la data science-Connaissance d’au moins un langage de programmation d’analyse : Python

Soft skills:
- Rigueur- Curiosité- Esprit d’initiative- Autonomie
Outils informatiques
Maitrise du Pack Microsoft Office
Langues
Français et Anglais courants
Entreprise Crédit Agricole CIB
A propos de Crédit Agricole Corporate and Investment Bank (Crédit Agricole CIB) Crédit Agricole CIB est la banque de financement et d'investissement du groupe Crédit Agricole, 12e groupe bancaire mondial par les fonds propres Tier1 (The Banker, juillet 2021). Près de 8600 collaborateurs en Europe, Amériques, Asie-Pacifique, Moyen-Orient et Afrique, accompagnent les clients de la Banque dans la couverture de leurs besoins financiers à travers le monde. Crédit Agricole CIB propose à ses clients grandes entreprises et institutionnels une gamme de produits et services dans les métiers de la banque de marchés, de la banque d'investissement, des financements structurés, de la banque commerciale et du commerce international. Pionnier dans le domaine de la finance Climat, la Banque occupe aujourd'hui une position de leader sur ce segment avec une offre complète pour l'ensemble de ses clients. Pour plus d'information : www.ca-cib.fr Twitter: https://twitter.com/ca_cib LinkedIn: https://www.linkedin.com/company/credit-agricole-cib/"
Consultant junior Data Scientist,Argon & Co,92300 Levallois-Perret,"Temps plein, CDI",-,"Argon & CoArgon & Co est un cabinet de conseil en management international spécialisé dans la stratégie et la transformation des opérations. Fort d’une expertise reconnue dans les domaines de la Supply Chain, des achats, de la finance et des fonctions support, nous accompagnons nos clients dans leurs transformations pour atteindre des résultats tangibles et pérennes.Avec plus de 270 consultants dans le monde à travers nos sept bureaux (Paris, Londres, Abu Dhabi, Atlanta, Singapour, Melbourne et Mumbai), nous avons la possibilité d’accompagner nos clients au niveau local tout en bénéficiant de notre connaissance des meilleures pratiques à l’échelle internationale.Nous sommes reconnus par Gartner et, le magazine Capital et le Financial Times comme un cabinet de conseil leader dans le domaine des opérations.IRIS by Argon & CoIRIS est une équipe de 30 spécialistes de la Data, AI, IoT, combinant expertise technologique et connaissance des métiers des opérations. Nous délivrons des solutions innovantes sur tous les domaines des opérations, depuis l’idéation jusqu’à l’industrialisation des cas d’usages et la transformation des processus associés.Votre MissionEn tant que Data Scientist au sein d’IRIS, vous serez amené à intervenir sur une variété de projets Data auprès de clients issus de tous les secteurs d’activité :· Participer au cadrage des collectes de données, réaliser le traitement de ces données· Développer des modèles Machine Learning / Deep Learning pour répondre aux problématiques des clients· Réaliser les analyses et restituer les résultats auprès d’interlocuteurs métiers, en mettant en pratique les techniques de visualisation de la donnée· Communiquer sur l’avancement du projet et mettre en valeur la valeur ajoutée des solutions développées pour le client· Mettre en production des algorithmes (ex. Docker) et les intégrer dans le stack technologique du client (AWS, Azure, Google Cloud…)En complément, vous aurez l’occasion de participer au développement entrepreneurial d’IRIS :· Participer aux activités R&D de l'équipe : développer des outils utilisés en interne, tester des nouvelles techniques de ML/DL pour de nouveaux cas d’usage : prévision, optimisation…· Contribuer à la capitalisation et au partage de connaissance au sein de l’équipe IRIS· Maintenir une veille technologique et apporter des nouvelles idées à l'équipeExemples de projets types : prévision des ventes, optimisation de l’assortiment produits, prédiction de qualité de production, optimisation des cadences de production…La vie au sein du cabinetA votre arrivée, un parrain vous est attribué, vous accompagnant tout au long de votre progression au sein d’IRIS by Argon & Co. Les formations dispensées dans le cabinet vous permettront de développer votre connaissance des métiers des Opération, vos compétences de gestion de projet et de conseil et vos connaissances Data / ML.Enfin, vous pourrez participer à de nombreux projets internes rythmant la vie du cabinet : évènements festifs, contribution à la communication digitale, engagements RSE, humanitaire, boîtes à outils du consultant, etc.Profil recherchéVous êtes issus d’une formation Grande Ecole d’ingénieur, avec une spécialisation en Data Science ou Intelligence Artificielle :- Vous disposer d’au moins 6 mois d’expérience (stages inclus) en charge du développement de modèles ML / DL – Non-requis pour le poste de Stagiaire- Vous maîtrisez le langage Python et l’usage du version control (Git)- Vous avez une bonne connaissance des algorithmes Machine Learning / Deep Learning et de solides compétences en Statistiques- Vous avez une approche réaliste et pragmatique des problématiques de Data Science- Vous faites preuve d’autonomie, de clarté, d’initiative et d’organisationLes plus :- Vous avez des compétences en techniques et outils de Data Visualisation (Power BI, Tableau, Qlik…)- Vous avez une bonne connaissance d’un écosystème Cloud (Azure, GCP, AWS)- Vous avez une expérience de mise en production d’algorithmes ou outils ad-hoc (Docker, Dataiku, Anaplan…)Vous êtes intéressé ? N’hésitez pas à nous contacter !Statut : CadreType d'emploi : Temps plein, CDISalaire : à partir de 1,00€ par moisHoraires :Du Lundi au VendrediTélétravail:Temporairement en raison du COVID-19"
Data Scientist Marketing Junior,Accenture,Paris (75),-,-,"Vos connaissances disent souvent que vous êtes au fait des dernières innovations ? Votre entourage est étonné par votre capacité à apprendre toujours plus ? Vous portez une attention particulière à votre bien-être notamment dans votre environnement de travail et vous souhaitez vous engager pour impacter la société ? Vous pensez que travailler dans un environnement agile, flexible et accessible permet à toutes et à tous d’innover ensemble ?
Rejoignez Accenture et participez à changer le monde.
En cette période particulière, nous avons adapté notre processus de recrutement pour que celui-ci se fasse en visio-conférence.
En tant que Data Scientist Marketing Junior, quelles seront vos missions ?
La recommandation d’architecture Data
La création de segmentation client à des fins marketing
La production de score d’appétence produits/offres, de modèle de recommandation
Le développement de modèles d’attribution ou marketing mix modeling
La création de Dashboard de performance de campagnes media et CRM
Le traitement et la consolidation de données clients et digitales provenant de sources diverses (CRM, Web Analytics, DMP…)
Le développement de modèles algorithmiques / machine learning utiles à la prédiction de comportement et la personnalisation de l’expérience client
Votre rôle intégrera également une dimension d’accompagnement business importante : vulgarisation des problématiques, autonomie sur la gestion de projet (planning, présentation de résultats, remontée des alertes), participation à des réponses aux appels d’offres.

Le métier de Data Scientist Marketing Junior est fait pour vous si :
Vous êtes diplômé(e) d'une grande école de commerce ou d'ingénieur avec une composante quantitative :
Vous maitrisez les principales familles d’algorithme et les outils de Data Science
Langage de programmation adapté (R, Python)
Maîtrise de SQL
Environnement cloud (GCP, Azure, AWS) et système d’exploitation Linux
Bonne maîtrise des algorithmes de classification/régression
Capacité de déploiement des calculs sur les environnements distribués (Spark)
Vous avez une bonne connaissance des solutions type DMP ou Web Analytics
Une expérience sur des solutions de data visualisation est un plus
Vous êtes curieux.euse, enthousiaste, pragmatique et rigoureux(euse)
Vous êtes flexible et à l’aise au sein d’une équipe pluri disciplinaire
Vous avez déjà travaillé dans un environnement international et justifiez d'un très bon niveau d'anglais (écrit et oral)
Accenture, c'est une communauté de plus de 500 000 talents et une mission commune réaliser la promesse technologique, alliée à l’ingéniosité humaine.
Dans un monde en perpétuel changement, nous accélérons la transformation des plus grandes entreprises de la stratégie jusqu’à la mise en œuvre grâce aux technologies de demain et dynamisons leur croissance grâce à l'expertise multi-sectorielle de nos expert.e.s !
Plongez au cœur de l’innovation en rejoignant notre équipe, une équipe qui aspire à créer de la valeur pour ses clients et à faire toujours mieux pour ses talents.
Envie d’en savoir plus sur le quotidien des collaborateurs Accenture ?
Posez-leur directement vos questions."
Clinical Data Scientist,POPSI CUBE,Paris 13e (75)," -  Temps plein, CDI",2 500 € par mois,"Le Groupe POPSI CUBE, est depuis 2004 reconnu comme une Organisation de Recherche Clinique (CRO) proposant une double expertise innovante et différenciante en combinant la mise en place de projets de recherche clinique ainsi que les outils informatiques spécifiques aux standards règlementaires de l'industrie Pharmaceutique et de la Santé.Nous disposons de bureaux en France, Etats Unis, Chine et Russie ainsi qu'un réseau de partenaires à taille humaine nous permettant de gérer tous les projets globaux quelles que soient leurs localisations.Nous recherchons pour une mission en prestation chez un de nos clients, un (e) Clinical Data Scientist H/FNous recherchons un profil ayant des compétences complémentaires en biostatistique, Datamanagment et informatique, pour mener et piloter des projets de R&D et notamment la remise à plat et le suivi d’une cohorte de patients dans le VIH.Vos missions : Diriger et piloter un projet de documentation et d’optimisation d’une base de données d’une cohorte de 20 000 patientsRéalisation des activités de Data Management, Labelisation et optimisation de la base de donnéesRédaction de la documentation : validation DMP, historisation, documentation, guide d’exploitationGestion de la relation avec les équipes épidémiologiquesProfil recherché: Vous êtes diplômé BAC+5 (IUT, Master 2, SupSanté, etc.)Vous avez plusieurs compétences complémentaires : Biostatistique, Datamanagement, Informatique (Base de données)Vous justifiez d’une expérience de plus de 4 ansVous bénéficiez d’une bonne connaissance des études cliniques et des standards (ICH, CDISC)Vous êtes organisé, rigoureux, bon rédacteur et êtes toujours de bonne humeur.Vous avez un anglais courantPoste à pourvoir immédiatement ou au plus tard 1/10/2021 impératif dans le cadre d’un CDI.Date limite de candidature : 01/10/2021Date de début prévue : 01/10/2021Type d'emploi : Temps plein, CDISalaire : à partir de 2 500,00€ par moisAvantages :Participation au TransportHoraires :Du Lundi au VendrediPériodes de Travail de 8 HeuresTélétravail:Non"
Data Scientist / Data Analyst F/H,SIDERLOG CONSEIL,Rennes (35),-,-,"Descriptif du poste:
Vous travaillez en relation directe avec le client et intégrez une équipe de consultants Siderlog, vous devrez :
Collecter les besoins et assister à la rédaction de cahiers des charges auprès des directions fonctionnelles (outils, modèles, choix d’indicateurs, …)
Concevoir et développer des applications statistiques, tableaux de bord, scoring, Machin Learning avec R, Python, SAS, Spark.
Créer des algorithmes de recherche de données.
Obtenir des données adéquates et pertinentes.
Gérer l’administration, la modélisation et l’architecture de gisements de données.
Interpréter les résultats des analyses sous forme de propositions et de conseils.
Accompagner les métiers dans des ateliers de travail, réunions, formations, recettes et supports utilisateurs.
Profil recherché:
Bac+5,
De formation décisionnelle, assurance ou statistique, vous disposez d’au moins cinq ans d’expérience dans l’accompagnement des directions fonctionnelles (Contrat, Sinistre, Marketing, Actuariat, Banque,) en tant que Data Analyst ou Data.
Vous maîtrisez les architectures Big Data et vous avec une bonne pratique des outils associés
Vos qualités relationnelles et rédactionnelles seront les garantes de votre réussite dans ce poste en lien direct avec les utilisateurs.
Vous avez le sens de l’organisation et êtes et rigoureux dans votre travail.
Entreprise:
Du plaisir à faire son travail, dans un environnement stimulant où l'on apprécie la qualité de la relation humaine. Voilà le ressenti exprimé par les femmes et les hommes de SIDERLOG. Depuis 2003, nos valeurs s'articulent autour de l'excellence, l'exigence, la confiance et l'esprit d'équipe.


A Paris, Lyon, Nantes et Niort, de grands noms de l'Assurance, de la Banque, des Mutuelles et de l'Energie s'attachent nos services et apprécient tous les avantages de notre approche du conseil, notre flexibilité et notre sens du service. SIDERLOG CONSEIL accompagne ses clients dans la déclinaison opérationnelle de leur stratégie.


Nous intervenons et sommes des acteurs reconnus dans 3 domaines :
Conseil en organisation et en conduite du changement,
MOA SI et Management de projet,
Data et Digital.


Nous rejoindre, c'est intégrer une entreprise dont l'humain est au cœur de notre développement, un cabinet où l'autonomie, la confiance et le partage sont des principes forts.


Entre 2003 et 2021 SIDERLOG est passée d'une d'idée, d'une ambition, à un cabinet de plus de 160 consultants."
