title,company,city,contract_type,salary,description
Data Scientist F/H,Malakoff Humanis,Paris (75),CDI,-,"Société

ASSOCIATION DE MOYENS ASSURANCE DE PERSONNES
Description du poste
Métier

DATA - DATA SCIENTIST
Intitulé du poste

Data Scientist F/H
Contrat

Contrat à durée indéterminée
Finalité du poste

Concevoir les modèles, outils et algorithmes permettant de collecter, stocker, traiter et restituer les données, internes ou non à l'entreprise, nécessaires à la prise de décision stratégiques et à l'optimisation des process opérationnels des métiers.

Missions

Au sein du pôle Intelligence Artificielle et Data Science créé en 2017, et en étroite collaboration avec un Data Product Manager, vous aurez en charge l'ensemble des tâches nécessaires au développement d'un ou plusieurs cas d'usage :
Recueil et compréhension des besoins émis par les clients internes / Products Owners MétiersRecherche de la démarche scientifique la mieux à même de répondre à la problématique, dans une logique itérative et incrémentaleExpression de besoins en termes de collecte de données, dans le respect de la réglementation et en concertation avec le Data Protection Officer et/ou ses relaisAnalyse (statistiques descriptives, audit de la donnée, …), transformation (agrégation, consolidation, feature engineering) et visualisation de la donnéeConstruction de modèles prédictifs, évaluation de leur performance et plus largement définition des KPI business justifiant de la valeur du cas d’usageContribution au déploiement et au monitoring des algorithmes en production (si la valeur du cas d’usage est démontrée)Restitution et valorisation des résultats aux clients internes / Products Owners Métiers
En dehors des cas d’usage à proprement parler, vous contribuerez à :la veille scientifique et technique du pôleaux réflexions et aux travaux sur l’éthique des algorithmes, en collaboration avec le pôle Gouvernance de la Donnéela diffusion de la culture Data au sein du Groupe


Profil recherché

Bac +5 ou expériences reconnues
Diplômé(e) d’une école d’ingénieur ou d’une université avec une majeure en Data Science, Intelligence Artificielle ou Mathématiques Appliquées, vous avez de solides connaissances théoriques et pratiques en matière de Machine Learning et disposez notamment des compétences techniques suivantes :
Modélisation statistique, algorithmes de Machine Learning supervisés et non supervisésLangage de programmation orienté Data Science tels que Python et RLangage de base de données SQLLangage de scripting tels que Bash (Notions)Utilitaire de versioning tels que Git ou SVN (Notions)Framework de développement web tels que Flask ou Shiny (Bonus)
Etant donné la part croissante de nos cas d’usages liés au traitement d’images, la capacité à concevoir et entraîner des modèles de Deep Learning appliqués à la Computer Vision (classification, object detection, …) en recourant aux frameworks de référence (TensorFlow, Keras, PyTorch, …) constitue un plus indéniable de votre candidature.
Idéalement, vous êtes également familier(ère) de la plateforme Dataiku et du Cloud Computing (AWS ou autres).
Enfin, plus largement, vous faites preuve de rigueur, d’autonomie, d’esprit d’équipe et de pédagogie. Vous souhaitez contribuer à la transformation de notre groupe et avoir de l’impact sur la satisfaction et l’expérience de nos clients.

Localisation du poste
Localisation du poste

Ile-de-France, Paris (75)
Ville

PARIS 09 LAFFITTE"
Data Scientist H/F,Atos,Montpellier (34),-,-,"À propos d’Atos

Atos est un leader international de la transformation digitale avec 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de 12 milliards d’euros. Numéro un européen du Cloud, de la cybersécurité et des supercalculateurs, le Groupe fournit des solutions intégrées de Cloud Hybride Orchestré, Big Data, Applications Métiers et Environnement de Travail Connecté. Partenaire informatique mondial des Jeux Olympiques et Paralympiques, le Groupe exerce ses activités sous les marques Atos, Atos|Syntel, et Unify.

La raison d’être d’Atos est de contribuer à façonner l’espace informationnel. Avec ses compétences et ses services, le Groupe supporte le développement de la connaissance, de l’éducation et de la recherche dans une approche pluriculturelle et contribue au développement de l’excellence scientifique et technologique. Partout dans le monde, Atos permet à ses clients et à ses collaborateurs, et plus généralement au plus grand nombre, de vivre, travailler et progresser durablement et en toute confiance dans l’espace informationnel.

Contexte et mission :
Au sein de l’équipe du Pôle Intelligence Artificielle de Montpellier, vous aurez en charge de participer aux activités de data science sur nos projets IA et Big Data.

Vous participerez aux travaux des équipes de recherche sur la mise en place de démonstrateurs IA, par exemple dans le domaine de l’environnement : Intégration, développement, prototypage.

Domaine sur lesquels vous travaillerez :

statistique - machine learning.
IA,
Réseau de neurones,
deep learning,
Data Processing, Data engineering, Data Science,
Node JS, Java, Python, TensorFlow, Keras, PyTorch.

Profil :
Vous êtes diplomé d'un bac+5 dans le domaine de la DataScience. La connaissance des technologies Fiware, IoT protocols, M2M protocols, Rest, Json, NoSQL, Big Data, Data visualization serait un plus.

Chez Atos, nous voulons que nos employés se sentent valorisés, appréciés et libres d'être eux-mêmes au travail. Nos process RH sont conçus pour prévenir la discrimination envers l'identité ou l'orientation sexuelle, la religion, l’origine ethnique, l'âge, la neurodiversité, le handicap, la citoyenneté ou tout autre aspect qui rend nos collaborateurs uniques. Partout dans le monde, nous avons créé plusieurs programmes pour soutenir la culture inclusive d'Atos, et nous travaillons pour nous assurer que tous nos collaborateurs aient une chance égale de sentir qu'ils sont exactement là où ils doivent être."
Data Analyst Marketing,Talent Partners,34000 Montpellier," -  Temps plein, CDI",40 000 € par an,"NOTRE CLIENT EN QUELQUES MOTS✲ Secteur de l'IT et de l'IA✲ Editeur de logiciel / Saas✲ Dimension Internationale✲ Structure de 170 Collaborateurs↬ Aider les opérationnels marketing à prendre des décisions d’investissement et de lancement de campagnes et d’actions de correction éclairées par des analyses et des croisements data poussées.Vos missions : ⇢ Récupérer la donnée provenant de plusieurs sources afin de la réconcilier, de la croiser, de la réorganiser et de l’analyser⇢ Représenter les problématiques et enjeux à travers la visualisation des données sur des tableaux de bord⇢ Fluidifier et améliorer la performance de nos métiers à l’aide de la data.Un exemple de mission sur ce périmètre : vous optimisez notre compréhension des profils et comportements de nos prospects par la mise en place d’un scoring en collaboration avec nos managers.⇢ Challenger et proposer de nouveaux modèles d’analyses et d’attribution en faisant preuve de pédagogie et diplomatie⇢ Responsabilité de la qualité de la donnée marketing. Vous repérez les problématiques de synchronisation, anomalies de tracking et éventuelles mauvaises interprétations✧ Le Profil du Talent que nous recherchons ✧⇢ Issu(e) d’une formation supérieure d’ingénieur Bac+4/Bac+5⇢ Vous êtes animé(e) par une forte culture marketing digital et appréciez l’environnement B2B⇢ Une mission similaire réussie, idéalement dans un contexte B2B et via l’utilisation d’outils tels que Google Analytics / Adobe Analytics, Salesforce, HubSpot⇢ Une maîtrise del’anglais⇢ Une connaissance des outils comme Google Tag Manager, vous avez idéalement déjà réalisé un plan de taggage.⇢ Vous avez l’âme d’un(e) consultant(e) et appréciez le conseil⇢ Vous êtes à l’aise avec le tracking web⇢ Vous vous reconnaissez dans ces qualités : adaptation, rigueur, proactivité, travail d’équipe✲ Ce poste est basé entre Montpellier et Nîmes ✲Il pourra être effectué en Remote depuis la France selon le profil du Talent !Statut : CadreType d'emploi : Temps plein, CDISalaire : à partir de 40 000,00€ par anHoraires :Du Lundi au VendrediPériodes de Travail de 8 HeuresTélétravail:Temporairement en raison du COVID-19"
Data Scientist - COPERNEEC,Coperneec,Paris (75),-,-,"Data Scientist - COPERNEEC
A propos de Coperneec


Coperneec est un cabinet de conseil spécialiste de la valorisation de la Data. Les expertises de nos consultants couvrent toute la chaîne des savoir-faire : Data Science, Data Analysis, Data Engineering et Data Business Analysis. Nos méthodes et techniques scientifiques éprouvées permettent de résoudre les problématiques Data dans tous les secteurs de l'industrie. Le but : extraire la connaissance à partir des données et pérenniser les avancées technologiques qui en découlent. La R&D est au cœur de notre ADN !

« From revolution to performance » avec Coperneec !


POSTE


Vous êtes Data Scientist, passionné(e) par les études prédictives et l'ensemble des méthodes scientifiques permettant d'extraire la connaissance à partir des données ? Coperneec renforce ses équipes dédiées à la Data Science !


En nous rejoignant, vous aurez l'occasion d'intégrer des pôles de recherche au sein de Directions Métier ou de Data Labs, dans un écosystème allant du secteur bancaire et financier à l'ensemble de l'industrie.


MISSIONS

Vous serez amené(e) à comprendre précisément les problématiques métier et les traduire de manière analytique
Vous identifierez, collecterez, préparerez les données et réaliserez une première analyse statistique
Vous développerez des algorithmes permettant de répondre aux problèmes posés et veillerez à leur industrialisation
Vous communiquerez vos résultats et vos solutions en les confrontant avec les équipes Métier
Vous évoluerez également au sein de la Practice Data Science et pourrez y développer des études et travaux de recherches innovants

PROFIL

Vous êtes diplômé(e) d'une grande Ecole d'Ingénieur et/ou d'un 3ème cycle universitaire spécialisé en Data Science ou Statistiques appliquées
Vous justifiez d'une première expérience réussie en tant que Data Scientist ou Data Analyst tous secteurs
Vous maitrisez les méthodes statistiques et avez appliqué des algorithmes de Machine Learning (Supervisé : Régressions, Random Forest, Boosting, Réseaux de Neurones... | Non Supervisé : K-means, K-Medoids, CAH... | Deep learning, NLP).
Vous maîtrisez au moins un des langages de programmation suivants : Python, R, SAS, Scala, SPSS
Rigoureux(se) et curieux(se), vous faites preuve d'autonomie et aimez relever de nouveaux challenges scientifiques et techniques


POSTULEZ"
Data Scientist,Avisto,06220 Vallauris,"Temps plein, CDI",-,"Dans le cadre de nos activités, vous serez amené à intervenir auprès de nos clients en tant que consultant data scientist. Intégrer en assistance technique au sein des équipes clientes, vous devrez apporter votre expertise pour mener à bien leurs projets. Vous pourrez intervenir sur plusieurs sujets en parallèle.

Missions :
Développer des modèles de détection ou prédiction d’évènement de vie des clients bancaires
Développer des modèles d’aide à la décision pour les conseillers bancaires.
Assister les data engineer
Création d’information client nouvelle pour le métier/business par une approche Data Science
Participer à la mise en qualité des données

Profil recherché

Compétences requise

Data science

EDA
Feature engineering, Feature selection
Sélection d’algo et entrainement de modèle sur données tabulaires
Explicabilité
Statistiques/Proba
Mise en œuvre d’algorithme décrit dans la littérature
NLP (conseillé mais pas indispensable)

Programmation

POO Python, Domain Driven Development
Test unitaire
Packaging du code

Général/Communication

Esprit d’analyse
Compréhension du besoin/Force de proposition
Capacité de vulgarisation traduction de métrique Data Science en métrique métier
Rédaction de fiche de synthèse de résultats
Anglais lu pour la veille technologique

Technos

Fortement recommandées

Python, Scikit-Learn, Pandas, Seaborn, XGBoost
Jupyter Notebook/Lab
PySpark
Conda
SQL
Git (Bitbucket)

Utiles

Keras, Spacy, SHAP (explicabilité)
Hive
Hadoop
PowerBI
Visual Studio Code

A propos de Avisto
AViSTO est une société d’ingénierie dont la vocation est le développement de solutions logicielles, fondée et managée par des ingénieurs. Elle se spécialise dans la réalisation de projets complexes mettant en œuvre des technologies Objet (Java/JEE, C++, C# .Net Core, Python, PHP), Web (Angular, ReactJS, VueJS) et Mobile (Android, iOS, multiplateforme).
A ce cœur de compétences, AViSTO a progressivement greffé des métiers complémentaires au développement logiciel, notamment le DevOps, l’assurance qualité, la data science et la cybersécurité.
Rejoindre AViSTO, c’est intégrer une communauté de spécialistes en informatique passionnés par leur métier et par les nouvelles technologies. Les projets menés sont ambitieux, dans des environnements où la haute technicité et l’innovation s’expriment pleinement, que ce soit dans nos centres de R&D ou directement dans les locaux de nos clients.
Vous aimez les défis techniques ? Vous avez envie d’évoluer dans une ambiance bienveillante ? D’intégrer une structure familiale avec les avantages d’un grand groupe ? Alors rencontrons-nous !"
CDI - Data Scientist - Yves Rocher F/H,Groupe Yves Rocher,Rennes (35),CDI,-,"Réf: 95202

Lieu:
FR - Rennes, FR

Type de contrat: CDI / Unlimited Term
Marque: Yves Rocher
Equipe: Direction du marché France
CDI - Data Scientist - Yves Rocher F/H

Yves Rocher France

Direction Marketing Clients

CDI à pourvoir rapidement

Basé à Rennes (35)

Voulez-vous faire partie d’une entreprise à mission et qui travaille sur sa certification B-Corp?

Prêt(e) à découvrir une nouvelle opportunité chez Groupe Rocher, une entreprise qui reconnecte les femmes et les hommes à la nature ?

Si oui, rejoignez la marque Yves Rocher ! De la graine à la peau, nous maîtrisons l’ensemble du cycle de vie de nos produits. Devenir salarié Yves Rocher, c’est faire partie d’un réseau de personnes passionnées et positives, engagées dans la protection de la biodiversité tout en servant avec excellence tous nos consommateurs.

**************************

La filiale Yves Rocher France (650 millions de CA en 2019) anime pour la Marque Yves Rocher, un réseau de plus de 680 points de vente, un site internet, et un réseau de vente par correspondance.

Yves Rocher, Créateur de la Cosmétique Végétale, recrute pour accompagner son développement et ses projets de transformation un Data Scientist F/H.

Au sein de la Direction Marketing Clients et plus précisément dans l’équipe Data & Business Intelligence, vos missions seront :

Identifier les besoins et la problématique des directions métiers
Apporter votre expertise en analyse et exploration des données (données structurées ou non structurées)
Construire des outils d'analyse et d’aide à la décision pour interpréter et donner un sens aux données
Organiser, d'étudier et de synthétiser ces sources de données sous forme de résultats exploitables et intelligibles pour les métiers
Contribuer aux études transverses
Assurer la veille de l’évolution des nouvelles technologies

De formation supérieure en statistiques (BAC+5 de type ENSAI, ou master spécialisé) ou datamining, vous avez acquis une expérience minimum de 5 ans sur un poste similaire. Vous maitrisez parfaitement les principaux logiciels statistiques (R, SAS …), les langages SQL et programmation (Python, Big Query…) et les méthodes de machine learning (SVM, Random Forest, Kmeans…). La connaissance des technologies Big Data (Hadoop, Hive, …) serait appréciée pour ce poste. Vous êtes dynamique et faîtes preuve de disponibilité auprès de vos interlocuteurs. Vous aimez communiquer et appréciez le travail en équipe.

***********************

Prêt à rendre ce monde plus beau avec nous ? N’attendez plus et postulez !

Le saviez-vous ? Fondateur de la cosmétique végétale depuis 1959, Yves Rocher propose un concept unique de beauté engagée, accessible à tous. Avec la nature bretonne comme inspiration centrale, nous sommes convaincus que nous pouvons apporter le bien-être à tous grâce à des solutions botaniques durables.

Cette offre est ouverte aux personnes en situation de handicap.

Nous vous invitons à découvrir la valeur du Groupe Rocher qui vous ressemble le plus!

Pour cela, répondez au quizz sur l'espace Candidat du site Internet Groupe Rocher (https://groupe-rocher.com/candidats) et partagez avec nous votre valeur ""Rocher compatible"" dans le formulaire de candidature !"
Data scientist Junior F/H,Réseau Primever France,47000 Agen,"Temps plein, CDI",-,"L'entreprise
Leader de son marché, le Groupe PRIMEVER développe des solutions dans les domaines du transport et de la logistique auprès de ses clients, concentrés sur deux secteurs d’activités particuliers : Le primeur (fruits/légumes) et l’industriel.

Rejoindre PRIMEVER, c’est intégrer un Groupe familial de plus de 2500 collaborateurs, 50 sites, fort de ses valeurs et en plein développement grâce à l’implication quotidienne de son personnel.

Rejoignez-nous !
Description du poste
Dans le cadre de notre développement, nous recherchons pour notre siège social situé à Agen (47), un/e Data Scientist Junior.

Rattaché au service de contrôle de gestion opérationnel, vous dépendrez du « Lead Data Scientist ». Intégré au bureau d’études d’une dizaine de personne pluridisciplinaire, vous participerez à la transition digitale du réseau afin d’exploiter la puissance du numérique, stimuler l’innovation et améliorer le quotidien de nos équipes.

Dans le cadre de vos fonctions, vos principales missions seront :

Participer à la construction des modèles de données ;
Trouver de nouveaux axes d’optimisation et des leviers de croissance ;
Réaliser des analyses pertinentes et des développements spécifiques ;
Automatiser les processus métiers ;
Créer des modèles de data visualisation adaptés aux différents services ;
Développer des modèles statistiques et de machine learning utiles à la prédiction des futurs demandes de transport ;
Gérer, collecter et contrôler les données de sources diverses ;
Assister la direction dans la prise de décisions stratégiques ;
Contribuer à la mise en place d’une culture Data Driven.

Votre rôle intégrera également une dimension d’accompagnement importante : formation aux outils, vulgarisation des problématiques, autonomie sur la gestion de projet (planning, présentation de résultats et de l’avancement), participation à des groupes de travail.

Au-delà de ces missions le/la Data Scientist Junior contribuera à l’amélioration globale de la plateforme data et IA, des outils, des méthodes et des process de collaboration.
Profil recherché
Diplômé d'une école d'ingénieur (ou équivalent bac +5) avec une composante mathématique et/ou informatique, vous maîtrisez les fondamentaux de gestion de base de données, le langage SQL, le système d’exploitation Windows. La maitrise de VBA serait un plus.
Vous maitrisez également le langage Python : librairies usuelles de traitement de données (numpy, pandas, scipy, scikit learn, etc.) et de visualisation (matplotlib, seaborn ou plotly).

Vous savez exploiter des algorithmes de machine learning et avez déjà utilisé des outils de Data Visualisation ou BI.

Votre aisance relationnelle et votre esprit collaboratif ainsi que votre sens de l’organisation et votre autonomie vous permettront de mener à bien les missions confiées."
Consultante - Consultant data scientist Sofrecom,Sofrecom,94300 Vincennes,-,-,"Vous accompagnez activement vos clients dans la valorisation de leurs données internes et externes.
Vous intervenez au sein d’un collectif engagé, visant l’efficacité, sur des domaines métiers diversifiés :
Expérience client,Campagnes marketing,Qualité de service et d’expérience sur les réseaux,Planification des déploiements de réseaux (4G, 5G, fibre, réseau de boutiques).

Vous générez pour vos clients des gains d’efficience mesurables, grâce à la précision de vos analyses de données et à la pertinence de vos recommandations.
Vous permettez à vos clients de résoudre leurs problèmes opérationnels et éclairez leurs prises de décision stratégiques.
Vous menez des projets de A à Z autour des données, en mobilisant des équipes projet transverses :
Vous êtes force de proposition dans la mise en place d’infrastructure, de gouvernance et d’outils data et IA adaptés aux besoins métier de vos clients,Vous qualifiez et préparez les sources de données pertinentes pour atteindre vos objectifs,Vous recommandez et mettez en œuvre les solutions analytiques et d’automatisation les plus adaptées aux problématiques de vos clients,Vous évaluez les résultats par rapport aux objectifs de départ.
Votre contribution est clé dans le développement des offres et des méthodologies data et IA de Sofrecom.
about you

Vous avez des compétences dans le domaine de la data science et êtes prêt-e à les développer avec le support du cabinet.
Vous connaissez l’écosystème big data et IA et maîtrisez la chaîne de valeur du traitement de la donnée.
Vous faites preuve de curiosité, vous aimez explorer les données et en identifier le potentiel caché.
Vous aimez travailler avec des équipes techniques spécialisées dans la data (data analysts, data scientists, ingénieurs SI…) comme avec des équipes métier en charge du marketing, de la distribution, de la relation clients ou du réseau.
Vous produisez des supports de présentation impactants, qui appuient votre propos.
Vous maîtrisez un ou plusieurs outils ou langages parmi :
Excel (avancé) et VBA,SQL,Python,BI et dataviz (Power BI, Tableau, Qlik…),Data analytics low-code / autoML (Dataiku, Knime…),Et/ou web analytics (Google Analytics…),Cloud (gcp) ...
Vous parlez couramment anglais et français.
additional information
Un secteur d’activité foisonnant de données,Une forte transversalité avec des interfaces à la fois techniques et métiers,L’opportunité de travailler pour un groupe avec une forte dimension internationale,Un cabinet de conseil à taille humaine avec des managers à votre écoute.

department
Cabinet de conseil spécialiste du développement et de la transformation des opérateurs Télécoms et acteurs institutionnels, de la réflexion stratégique à la mise en œuvre opérationnelle, le groupe Sofrecom est un puissant réseau d’expertises au service de ses clients en Europe, Afrique, Asie et Moyen Orient. Riche de plus de 2000 collaborateurs dont 300 en France, issus de plus de 30 nationalités, le Groupe Sofrecom est implanté dans 11 pays. Etre consultant(e) chez Sofrecom, c’est rejoindre un cabinet de conseil à taille humaine, filiale du groupe Orange, une ambiance de travail conviviale et la possibilité d’intervenir sur des projets variés en France et à l’étranger, au sein d’une équipe dynamique et engagée.
contract
Regular"
Ingénieur(e) modélisation data scientist,OPTIMUM TRACKER,13590 Meyreuil," -  Temps plein, CDI",2 750 € par mois,"A PROPOS DE NOUS Fondée en 2009, Optimum Tracker est une entreprise innovante en plein développement. Elle conçoit, produit et installe des solutions de tracker solaire sur les centrales photovoltaïques de grande envergure en France et dans les 4 coins du monde. Elle participe activement à la transition écologique car l’énergie produite à partir de la lumière du soleil n’émet pas de co2 et représente une source renouvelable.Optimum tracker participe à la concrétisation des ambitions de nombreux pays dans une démarche de renouvellement durable en transformant le rayonnement du soleil en courant électrique continu.A taille humaine, son environnement contribue à rendre les équipes unies et les gens plus épanouis au travail. Elle favorise l’ouverture d’esprit, l’adaptabilité, la créativité, la passion des challenges.Notre signature : The best place to work for the best talents ! LE TRACKER SOLAIREC’est une structure pivotante couplée à un algorithme astronomique. Sur le principe du tournesol, la structure permet aux panneaux photovoltaïques de suivre la course du soleil, augmentant la productivité de la centrale jusqu'à 30%.LE POSTE : INGENIEUR(E) MODELISATION DATA SCIENTISTOptimum Tracker développe une solution innovante de tracker 1 axe avec son contrôle-commande, valorisée par 12 brevets déposés. Cette solution, permet d’optimiser la production par l'orientation à chaque instant des panneaux photovoltaïques en fonction de l’état du ciel. Optimum Tracker stocke de façon structurée depuis des années les données de sa trentaine de centrales solaires répartie dans le monde entier et développe des algorithmes pour rendre ses centrales toujours plus innovantes et compétitive. Cette quantité de données accessibles, couplée aux retours d’expérience du terrain, offre un potentiel d’optimisations diverses considérable.Intégré au service R&D, vous serez spécialisé dans la modélisation des problèmes physiques complexes et pluridisciplinaires se déroulant sur les centrales solaires, utilisant la grande quantité de données des centrales d’Optimum Tracker, dans les objectifs :· D’optimisation technico-économiques de l’opération et de la maintenance des centrales existantes· Aide à la mise en place de solution innovantes et compétitives pour les nouveaux produitsPour répondre à ces objectifs, un travail préliminaire a déjà été effectué :· Structuration et accessibilité de la base de données des centrales· Contrôle qualité et nettoyage des variables clés· Elaboration de modèles et outils de visualisation des variables physiques clés des centrales solairesVotre challenge sera d’apporter des réponses aux sujets non exhaustifs suivantes :· Développement d’algorithmes innovants de maximisation du productible· Amélioration des stratégies de maintenance des centrales et de nettoyage de panneaux solaires· Minimisation sous contraintes du vieillissement d’un parc de batteries· Prévision à différents horizons des rafales de vent· …Ces sujets complexes pourront se traiter en collaboration avec chercheurs à la pointe dans ces domaines.Le candidat pourra voir à ce sujets quelques travaux déjà réalisés avec MINES ParisTech :https://www.youtube.com/watch?v=QvLNVqeapS0 LE PROFILDiplômé(e) d’une école d’ingénieur ou équivalent, vous avez de fortes compétences en modélisation des phénomènes physiques. Vous avez également de l’expérience dans les sciences de la donnée. Vous maitrisez également la démarche scientifique (analyse bibliographique, veille technologique, résolution de problèmes complexes pluridisciplinaires). Vous maitrisez enfin l’anglais technique.Il vous ait demandé :· Un esprit concret et pragmatique· Curiosité et proactivité· Créativité et persévérance· Gout du travail en équipe et en collaborationNOUS VOUS PROPOSONSUn poste d’INGENIEUR MODELISATION DATA SCIENTIST H/F en CDI de 38h30 Hebdomadaires, jeune diplômé accepté.Un formidable challenge :- une mission valorisante dans un environnement technologique, innovant et à l’international - orienté développement durable- de rejoindre une équipe jeune, dynamique, expérimentée et passionnée pas ses challenges.Sans compter que vous avez à disposition :Une rémunération selon profil et expérience avec variable sur résultatsUne mutuelle d’entreprise prise en charge par l’employeur à hauteur de 50 %Frais de transports en commun pris en charge par l’employeur à hauteur de 50 %4 jours de télétravail dans le moisSi vous partagez les mêmes valeurs d’engagement, de passion, d’innovation, que vous avez envie de vous impliquer dans une entreprise à fort potentiel, ce poste est fait pour vous, postulez avec une lettre de motivation et cvDate limite de candidature : 30/11/2021Statut : CadreType d'emploi : Temps plein, CDISalaire : à partir de 2 750,00€ par moisHoraires :Du Lundi au VendrediRémunération supplémentaire :Prime semestrielleMesures COVID-19:Port du masque obligatoire, achat lave-vaisselle, respect des gestes barrièresTélétravail:Oui"
INGENIEUR DATA SCIENTIST F/H,PROBAYES,Paris 15e (75),"Apprentissage, Contrat pro",-,"Descriptif du poste:
Ingénieur Machine Learning Recherche et Développement
Rattaché(e) au directeur de projets et en collaboration avec nos chefs de projets :
Vous participez aux développements d’applications et de produits pour nos clients dans des domaines variés : l’industrie (santé, énergie), la défense, l’automobile etc.
Vous devez pour cela mettre en œuvre des capacités d’analyse des problématiques clients (cadrage, définition des cibles, conception) ainsi que des capacités de développement : préparation de données, modélisation algorithmie, déploiement.
Vous abordez ces développements avec une approche orientée projet : pragmatique quant à la qualité, efficace sur la robustesse du code, mise en place de bonnes pratiques de développement, le respect des délais.
Profil recherché:
Qualifications
Ingénieur, Master, ou Docteur en Sciences Physiques, Mathématiques, Mathématiques appliquées, Informatique ou Informatique scientifique
Expérience en apprentissage automatique et développement (préférentiellement langage python)
Poste ouvert aux profils débutants et 1ère expérience en data science
Français courant
Compétences requises
Technique :
Solides connaissances en apprentissage statistique et profond

Théorique : état de l’art, composants des réseaux profonds etc…

Pratique : Ecosystème de science des données, Langage et librairies Python
Savoir-faire minimal en sciences informatiques : Bonnes connaissances de l’environnement linux et git, bonnes pratiques de développement
Fonctionnel :
Capacité de cadrage et définition des problématiques techniques : transcription d’un problème « métier » en une cible technique, conception d’une solution algorithmique
Qualité de communication à l’écrit et à l’oral et capacités rédactionnelles
Intérêt pour les problématiques Marketing, ou Industrielles et/ou Défense
Compétences appréciées
La maitrise d’une ou plusieurs des compétences présentées ci-dessous sera un plus pour la prise de poste
Deep Learning : framework Torch, Keras ou autre, connaissance NLP, Vision
Sciences informatiques et Développement : Docker, Bases de données, CICD (Docker, gitlab-ci, jenkins), notions de développement front/back et de déploiement
Big data : framework Hadoop, Spark…
Cloud : instanciation d’application sur une plateforme cloud
Qualités requises
Vous êtes autonome, curieux(se) et rigoureux(se)
Vous aimez travailler en équipe
 Vous avez une bonne communication orale et écrite
Entreprise:
Spin-off de l’INRIA et du CNRS, Probayes est né de la volonté d’être le chainon manquant entre la recherche et l’industrie.
Fort de 18 ans d’expérience, Probayes est aujourd’hui l’un des leaders des solutions en Intelligence Artificielle. Ainsi, 50 Data Scientists travaillent au côté des plus grands groupes sur les enjeux métiers pour développer des solutions IA sur mesure, à fort ROI.
Avec un savoir-faire central en machine learning, complété par des expertises scientifiques en optimisation, en fusion de capteurs, en traitement d’images et en NLP et par des compétences de conception et de développement, Probayes développe, pour ses clients, des modèles comme moteur d’innovation, d’optimisation et d’aide à la décision.
Probayes adresse ses solutions auprès de secteurs divers : automobile, défense, logistique, chimie, banque, et souhaite à la fois renforcer sa présence sur ces verticaux et développer des collaborations sur de nouveaux secteurs stratégiques. Probayes, qui a rejoint La Poste en mai 2016, est devenu le centre de compétence en Intelligence Artificielle du groupe. Probayes bénéficie également de cette collaboration dans le domaine des infrastructures « Big Data » et de la sécurité informatique.
Basée à Montbonnot près de Grenoble, Probayes a une équipe technique et commerciale à Paris.
Conseils:
Pourquoi nous rejoindre ?
Vous souhaitez travailler sur des missions à forte valeur ajoutée et découvrir des environnements et secteurs d’activité différents
 Vous recherchez un poste vous permettant de mettre à profit vos compétences techniques et personnelles sur des missions variées
Nous vous apporterons et enseignerons :

une expertise technique pointue à l’état de l’art sur les problématiques d’Apprentissage Automatique
une méthodologie souple et agile dans le développement exploratoire de solution,
la rigueur et les bonnes pratiques de développement sur l’ensemble de nos projets,
Vous travaillerez dans une entreprise précurseur sur les sujets d’Apprentissage Automatique avec une vigilance du quotidien sur les moyens donnés aux Ingénieurs et Data Scientists (formation, machines, temps à disposition) et une émulation technique importante (échanges techniques hebdomadaires, partage de connaissance)"
