title,company,city,contract_type,salary,description,link
Data Scientist,Avisto,06220 Vallauris,"Temps plein, CDI",-,"Dans le cadre de nos activités, vous serez amené à intervenir auprès de nos clients en tant que consultant data scientist. Intégrer en assistance technique au sein des équipes clientes, vous devrez apporter votre expertise pour mener à bien leurs projets. Vous pourrez intervenir sur plusieurs sujets en parallèle.

Missions :
Développer des modèles de détection ou prédiction d’évènement de vie des clients bancaires
Développer des modèles d’aide à la décision pour les conseillers bancaires.
Assister les data engineer
Création d’information client nouvelle pour le métier/business par une approche Data Science
Participer à la mise en qualité des données

Profil recherché

Compétences requise

Data science

EDA
Feature engineering, Feature selection
Sélection d’algo et entrainement de modèle sur données tabulaires
Explicabilité
Statistiques/Proba
Mise en œuvre d’algorithme décrit dans la littérature
NLP (conseillé mais pas indispensable)

Programmation

POO Python, Domain Driven Development
Test unitaire
Packaging du code

Général/Communication

Esprit d’analyse
Compréhension du besoin/Force de proposition
Capacité de vulgarisation traduction de métrique Data Science en métrique métier
Rédaction de fiche de synthèse de résultats
Anglais lu pour la veille technologique

Technos

Fortement recommandées

Python, Scikit-Learn, Pandas, Seaborn, XGBoost
Jupyter Notebook/Lab
PySpark
Conda
SQL
Git (Bitbucket)

Utiles

Keras, Spacy, SHAP (explicabilité)
Hive
Hadoop
PowerBI
Visual Studio Code

A propos de Avisto
AViSTO est une société d’ingénierie dont la vocation est le développement de solutions logicielles, fondée et managée par des ingénieurs. Elle se spécialise dans la réalisation de projets complexes mettant en œuvre des technologies Objet (Java/JEE, C++, C# .Net Core, Python, PHP), Web (Angular, ReactJS, VueJS) et Mobile (Android, iOS, multiplateforme).
A ce cœur de compétences, AViSTO a progressivement greffé des métiers complémentaires au développement logiciel, notamment le DevOps, l’assurance qualité, la data science et la cybersécurité.
Rejoindre AViSTO, c’est intégrer une communauté de spécialistes en informatique passionnés par leur métier et par les nouvelles technologies. Les projets menés sont ambitieux, dans des environnements où la haute technicité et l’innovation s’expriment pleinement, que ce soit dans nos centres de R&D ou directement dans les locaux de nos clients.
Vous aimez les défis techniques ? Vous avez envie d’évoluer dans une ambiance bienveillante ? D’intégrer une structure familiale avec les avantages d’un grand groupe ? Alors rencontrons-nous !",https://fr.indeed.com/rc/clk?jk=a633bad2a5d6f566&fccid=8ba63f03e8743026&vjs=3
Data scientist F/H,Opteven,Villeurbanne (69),CDI,-,"Pour accompagner sa croissance et son évolution technologique, Opteven renforce sa DSI et recherche un Data scientist F/H, rattaché(e) au responsable du Pôle Data/BI.Vous êtes garant de la conception, de la mise en place des solutions d’analyse et de gestion de données, ainsi que la disponibilité des données de l’entreprise, tout en garantissant leur évolution cohérente dans le respect des objectifs métiers.Missions principales du poste : Vous collectez les besoins des équipes métier en termes d’analyse de données pertinentes pour l’entrepriseVous étudiez des données qui permettront de définir les données qui seront extraites et traitées, en accord avec les exigences de l’entrepriseVous récupérez et analysez des données pertinentes liées au processus divers de l’entreprise, vous modélisez des résultats d’analyse des données pour les rendre lisibles et exploitables par les différents services métiersVous construisez les algorithmes permettant d’améliorer les résultats de recherches, vous élaborez des modèles prédictifs afin d’anticiper l’évolution des données et tendances relatives à l’activité de l’entrepriseVous définissez des solutions de stockage des données, en lien avec la direction technique de l’entrepriseVous assurez la supervision, le support (niveau 2), la maintenance des outils BI/Reporting de l’entrepriseVous rédigez les documentations nécessaires à l’ordonnancement et l’exploitation des solutions développéesVous êtes en relation avec les services métier pour leur fournir des extractions pour les besoins de leur activitéVous travaillez en collaboration avec les équipes fonctionnelles et techniques dans le cadre de projets (projets métiers divers, lancement produit)Master en informatique avec une spécialisation en gestion de données ou Diplôme d’ingénieur spécialisé en statistique et informatique, Data Science ou Big Data.Une première expérience d'au moins 2 ans sur un poste équivalent.Compétences recherchées : Maitrise d’au moins un langage de script de méthodes statistiques (ex : R, Python, SAS) et les techniques de Data VizualisationConnaissance des techniques de Machine Learning & Deep LearningExpertise en algorithmie et gestion des bases de donnéesMaîtrise de l’architecture des bases de données décisionnelles (data warehouse)Construire des algorithmes pour améliorer les résultats de recherches et de ciblageStatistiques :  capacité à réaliser des analyses prédictives et statistiques à partir des différentes bases de donnéesDes compétences en gestion de projet seront également appréciéesL’utilisation d’outils de ticketingAnglais professionnel à minimaQualités requises : Passionné(e) par la techniqueAdaptabilitéSens de la communicationRigueurAutonomieOrganisationEnvironnement technique : ETL :  Pentaho 5.2, 8.1 et 9. Pentaho ServerJenkinsBase de données :  PostgreSQLTableauCDIRémunération :  en fonction du profil et de l’expérienceA cela s’ajoute un 13è mois et demi calculé au prorata de la présence dans l’entreprise.OPTEVEN assure une prise en charge à hauteur de 60% de l’abonnement des transports en commun (ou une prime de transport)Contrats mutuelle et prévoyance avec prise en charge au-dessus du minimum légalParticipation et intéressementCarte restaurantPoste localisé à Lyon Villeurbanne (69)Rejoignez-nous !Type d'emploi : CDIWork Location: Multiple Locations",https://fr.indeed.com/company/Opteven/jobs/Data-Scientist-F-H-4eb4d85e56f3567c?fccid=fad2edc11972aad3&vjs=3
CDI - Data Scientist - Yves Rocher F/H,Groupe Yves Rocher,Rennes (35),CDI,-,"Réf: 95202

Lieu:
FR - Rennes, FR

Type de contrat: CDI / Unlimited Term
Marque: Yves Rocher
Equipe: Direction du marché France
CDI - Data Scientist - Yves Rocher F/H

Yves Rocher France

Direction Marketing Clients

CDI à pourvoir rapidement

Basé à Rennes (35)

Voulez-vous faire partie d’une entreprise à mission et qui travaille sur sa certification B-Corp?

Prêt(e) à découvrir une nouvelle opportunité chez Groupe Rocher, une entreprise qui reconnecte les femmes et les hommes à la nature ?

Si oui, rejoignez la marque Yves Rocher ! De la graine à la peau, nous maîtrisons l’ensemble du cycle de vie de nos produits. Devenir salarié Yves Rocher, c’est faire partie d’un réseau de personnes passionnées et positives, engagées dans la protection de la biodiversité tout en servant avec excellence tous nos consommateurs.

**************************

La filiale Yves Rocher France (650 millions de CA en 2019) anime pour la Marque Yves Rocher, un réseau de plus de 680 points de vente, un site internet, et un réseau de vente par correspondance.

Yves Rocher, Créateur de la Cosmétique Végétale, recrute pour accompagner son développement et ses projets de transformation un Data Scientist F/H.

Au sein de la Direction Marketing Clients et plus précisément dans l’équipe Data & Business Intelligence, vos missions seront :

Identifier les besoins et la problématique des directions métiers
Apporter votre expertise en analyse et exploration des données (données structurées ou non structurées)
Construire des outils d'analyse et d’aide à la décision pour interpréter et donner un sens aux données
Organiser, d'étudier et de synthétiser ces sources de données sous forme de résultats exploitables et intelligibles pour les métiers
Contribuer aux études transverses
Assurer la veille de l’évolution des nouvelles technologies

De formation supérieure en statistiques (BAC+5 de type ENSAI, ou master spécialisé) ou datamining, vous avez acquis une expérience minimum de 5 ans sur un poste similaire. Vous maitrisez parfaitement les principaux logiciels statistiques (R, SAS …), les langages SQL et programmation (Python, Big Query…) et les méthodes de machine learning (SVM, Random Forest, Kmeans…). La connaissance des technologies Big Data (Hadoop, Hive, …) serait appréciée pour ce poste. Vous êtes dynamique et faîtes preuve de disponibilité auprès de vos interlocuteurs. Vous aimez communiquer et appréciez le travail en équipe.

***********************

Prêt à rendre ce monde plus beau avec nous ? N’attendez plus et postulez !

Le saviez-vous ? Fondateur de la cosmétique végétale depuis 1959, Yves Rocher propose un concept unique de beauté engagée, accessible à tous. Avec la nature bretonne comme inspiration centrale, nous sommes convaincus que nous pouvons apporter le bien-être à tous grâce à des solutions botaniques durables.

Cette offre est ouverte aux personnes en situation de handicap.

Nous vous invitons à découvrir la valeur du Groupe Rocher qui vous ressemble le plus!

Pour cela, répondez au quizz sur l'espace Candidat du site Internet Groupe Rocher (https://groupe-rocher.com/candidats) et partagez avec nous votre valeur ""Rocher compatible"" dans le formulaire de candidature !",https://fr.indeed.com/rc/clk?jk=5c886be0ff37945c&fccid=afcbba7ca395f114&vjs=3
Data Scientist - Demande de dérogation recrutement externe H/F,Safran,Magny-les-Hameaux (78),-,-,"Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 79 000 collaborateurs pour un chiffre d'affaires de 16,5 milliards d'euros en 2020, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. Safran s'engage dans des programmes de recherche et développement qui préservent les priorités environnementales de sa feuille de route d'innovation technologique.

Safran est classé meilleur employeur mondial 2020 dans son secteur par le magazine Forbes.

La fabrication des pièces destinées à un usage dans l'aviation produisent des données de type « Big Data », que ce soit en termes de volume ou de variété (des séries temporelles, des images, des logs machine). L'exploitation automatisée et intelligente de ces données est clé pour atteindre un niveau de robustesse industrielle

En même temps, les systèmes et équipements en vol génèrent des données de nature diverse tout au fil de leur vie, que ce soit pendant l'exploitation (jusqu'à plusieurs Gigaoctets par vol), ou pendant les opérations de maintenance. La robustesse et fiabilité de ces opérations sont au cœur des problématiques opérationnelles des avionneurs et des compagnies aériennes.

En tant que Data Scientist chez Safran Analytics vous aurez la mission de contribuer au succès des projets Data Science de l'un de ces périmètres, en participant activement aux phases d'analyse et de modélisation statistique des données (Machine Learning, Intelligence Artificielle).

Diplôme d'Ingénieur, en mathématiques appliquées, Computer Science, ou des domaines de proximité: statistiques, modélisation des données, informatique décisionnelle.
BAC+5, ou Doctorat avec ambition d'appliquer les connaissances dans un contexte business et opérationnel. Une première expérience dans un poste de Data Scientist est un plus.

Compétences Techniques :

Connaissance solides et expérience sur l'application de méthodes d'analyses de données (statistiques et algorithmes, machine learning / deep learning, modèles prédictifs, scoring, segmentation, forecasting)
Maîtrise de Python, ou d'un autre langage de programmation particulièrement adapté pour l'exploitation de données (R, Spark/Scala, C++, ...)
Expérience avec au moins un logiciel/librairie de création de dashboards et des bibliothèques de visualisation de données (PowerBI, Grafana, Tableau, Dash, Shiny, D3.js, ...)
Connaissances solides sur l'exploitation des base de données (SQL et NoSQL)
Connaissances basiques sur des practices de software engineering et data engineering (containers, orchestration, exploitation des plateformes ""big data""), ainsi que sur l'utilisation des clouds privés ou publics.

",https://fr.indeed.com/rc/clk?jk=471597dc13ddc26e&fccid=b3885ca934ed0066&vjs=3
INGENIEUR DATA SCIENTIST F/H,PROBAYES,Paris 15e (75),"Apprentissage, Contrat pro",-,"Descriptif du poste:
Ingénieur Machine Learning Recherche et Développement
Rattaché(e) au directeur de projets et en collaboration avec nos chefs de projets :
Vous participez aux développements d’applications et de produits pour nos clients dans des domaines variés : l’industrie (santé, énergie), la défense, l’automobile etc.
Vous devez pour cela mettre en œuvre des capacités d’analyse des problématiques clients (cadrage, définition des cibles, conception) ainsi que des capacités de développement : préparation de données, modélisation algorithmie, déploiement.
Vous abordez ces développements avec une approche orientée projet : pragmatique quant à la qualité, efficace sur la robustesse du code, mise en place de bonnes pratiques de développement, le respect des délais.
Profil recherché:
Qualifications
Ingénieur, Master, ou Docteur en Sciences Physiques, Mathématiques, Mathématiques appliquées, Informatique ou Informatique scientifique
Expérience en apprentissage automatique et développement (préférentiellement langage python)
Poste ouvert aux profils débutants et 1ère expérience en data science
Français courant
Compétences requises
Technique :
Solides connaissances en apprentissage statistique et profond

Théorique : état de l’art, composants des réseaux profonds etc…

Pratique : Ecosystème de science des données, Langage et librairies Python
Savoir-faire minimal en sciences informatiques : Bonnes connaissances de l’environnement linux et git, bonnes pratiques de développement
Fonctionnel :
Capacité de cadrage et définition des problématiques techniques : transcription d’un problème « métier » en une cible technique, conception d’une solution algorithmique
Qualité de communication à l’écrit et à l’oral et capacités rédactionnelles
Intérêt pour les problématiques Marketing, ou Industrielles et/ou Défense
Compétences appréciées
La maitrise d’une ou plusieurs des compétences présentées ci-dessous sera un plus pour la prise de poste
Deep Learning : framework Torch, Keras ou autre, connaissance NLP, Vision
Sciences informatiques et Développement : Docker, Bases de données, CICD (Docker, gitlab-ci, jenkins), notions de développement front/back et de déploiement
Big data : framework Hadoop, Spark…
Cloud : instanciation d’application sur une plateforme cloud
Qualités requises
Vous êtes autonome, curieux(se) et rigoureux(se)
Vous aimez travailler en équipe
 Vous avez une bonne communication orale et écrite
Entreprise:
Spin-off de l’INRIA et du CNRS, Probayes est né de la volonté d’être le chainon manquant entre la recherche et l’industrie.
Fort de 18 ans d’expérience, Probayes est aujourd’hui l’un des leaders des solutions en Intelligence Artificielle. Ainsi, 50 Data Scientists travaillent au côté des plus grands groupes sur les enjeux métiers pour développer des solutions IA sur mesure, à fort ROI.
Avec un savoir-faire central en machine learning, complété par des expertises scientifiques en optimisation, en fusion de capteurs, en traitement d’images et en NLP et par des compétences de conception et de développement, Probayes développe, pour ses clients, des modèles comme moteur d’innovation, d’optimisation et d’aide à la décision.
Probayes adresse ses solutions auprès de secteurs divers : automobile, défense, logistique, chimie, banque, et souhaite à la fois renforcer sa présence sur ces verticaux et développer des collaborations sur de nouveaux secteurs stratégiques. Probayes, qui a rejoint La Poste en mai 2016, est devenu le centre de compétence en Intelligence Artificielle du groupe. Probayes bénéficie également de cette collaboration dans le domaine des infrastructures « Big Data » et de la sécurité informatique.
Basée à Montbonnot près de Grenoble, Probayes a une équipe technique et commerciale à Paris.
Conseils:
Pourquoi nous rejoindre ?
Vous souhaitez travailler sur des missions à forte valeur ajoutée et découvrir des environnements et secteurs d’activité différents
 Vous recherchez un poste vous permettant de mettre à profit vos compétences techniques et personnelles sur des missions variées
Nous vous apporterons et enseignerons :

une expertise technique pointue à l’état de l’art sur les problématiques d’Apprentissage Automatique
une méthodologie souple et agile dans le développement exploratoire de solution,
la rigueur et les bonnes pratiques de développement sur l’ensemble de nos projets,
Vous travaillerez dans une entreprise précurseur sur les sujets d’Apprentissage Automatique avec une vigilance du quotidien sur les moyens donnés aux Ingénieurs et Data Scientists (formation, machines, temps à disposition) et une émulation technique importante (échanges techniques hebdomadaires, partage de connaissance)",https://fr.indeed.com/rc/clk?jk=778d77eabbab035e&fccid=f843045e8db6a245&vjs=3
Data Scientist Cyber Security (h/f),Airbus,Paris (75),"Temps plein, CDI",-,"Airbus Cybersecurity SAS
Airbus pioneers sustainable aerospace for a safe and united world. The Company constantly innovates to provide efficient and technologically-advanced solutions in aerospace, defence, and connected services. In commercial aircraft, Airbus offers modern and fuel-efficient airliners and associated services. Airbus is also a European leader in defence and security and one of the world's leading space businesses. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions and services worldwide.
Job Description
Qui sommes-nous ?
Airbus CyberSecurity est un des acteurs de la cybersécurité le plus avancé d’Europe. Crée en 2012 et filiale à 100% d’Airbus Defence & Space, notre ambition est de devenir un des leaders européens et mondiaux en Cyber Sécurité.
Notre mission ? Airbus CyberSecurity se positionne sur les marchés de la surveillance, de l'investigation et de l'audit de sécurité pour les systèmes les plus exposés aux menaces pour des acteurs étatiques, les organismes de défense et de sécurité, mais aussi au sein du groupe Airbus ainsi que pour des opérateurs d’importance vitale (OIV).
Nous sommes plus de 900 experts basés en France, en Allemagne, au Royaume-Uni et en Espagne, ayant chacun un centre des opérations de sécurité (SOC). Nous opérons également aux États-Unis et au Moyen-Orient.
Afin de poursuivre notre croissance, nous recrutons un(e) ""Data Scientist Cyber Security (h/f)"" qui sera basé(e) à Elancourt (78), France. Vous rejoindrez l’équipe ""Development Engineering"" (15 personnes) en charge du développement de produits de haute technologie dans le domaine de la cyber sécurité afin d’apporter votre expertise dans le domaine du machine learning/IA. Vous serez sollicité(e) sur l’apport de nouvelles fonctionnalités au sein des produits ainsi qu’au travers de projets mettant en œuvre nos solutions. Les sujets pressentis portent sur l’apprentissage par renforcement, l’UEBA et l’apprentissage continu. Vous serez amené(e) à interagir avec les parties prenantes : utilisateurs, développeurs et clients.
Ce que nous vous proposons :
En tant que référent sur les sujets liés au machine learning/IA au sein de nos équipes, vous serez en charge d’apporter des solutions innovantes pour nos produits et projets en tenant compte du caractère explicable de celles-ci ainsi que de leur capacité à passer à l’échelle.
Vous contribuerez aux activités principales suivantes :
Réalisation/enrichissement d’un jeu de données
Modélisation et prototypage
Documentation et rédaction de spécifications
Accompagnement des développeurs pour l’implémentation (éventuellement participation à l’implémentation)
Veille technique / académique
Ce poste nécessite une habilitation de sécurité et ainsi, d'être éligible à une habilitation par les autorités reconnues.
Les compétences que nous recherchons :
Titulaire d’une formation type Master dans le domaine du traitement des données/machine learning/IA, vous avez une première expérience professionnelle réussie dans le développement, l'implémentation et l'industrialisation de solutions d'Intelligence Artificielle. Vous avez de très bonnes capacités de rédaction et de communication pour produire des documents techniques et accompagner utilisateurs et développeurs dans la prise en main des outils.
Vous avez les connaissances et compétences suivantes :
Langage de programmation Python, C/Java (serait un plus)
Environnement Linux, GIT, JIRA
Connaissance des méthodes agiles et de l’intégration continue (serait un plus)
Rigoureux(se) et appliqué(e), vous menez à terme ce que vous entreprenez
Doté(e) d’un excellent sens relationnel vous êtes passionné(e) par votre métier
Ouvert(e) d’esprit, curieux(se), vous aimez apprendre et être force de proposition
Vous vous acclimatez facilement à un nouvel environnement technique avec ses règles et ses contraintes
Français : courant
Anglais : bonne capacité rédactionnelle
1/ Travailler pour un spécialiste européen de la Cyber Sécurité, au sein d’une équipe d’experts qui développent des produits et services fiables et ultra-performants pour des clients hors du commun positionnés sur des marchés clés.
2/ Rejoindre le groupe Airbus et bénéficier d’un environnement de travail favorisant le développement de vos compétences au travers de la formation ainsi qu’un plan de carrière évolutif adapté à votre profil.
3/ Evoluer dans un environnement de travail équilibré : Au-delà des nombreux avantages offerts à ses employés, rejoindre le groupe Airbus c’est aussi la garantie d’un équilibre respecté entre vie professionnelle et vie privée.
A la recherche d’un nouveau défi ou d’un nouveau projet de carrière en Cyber Sécurité dans une structure à la pointe de l’industrie ? Ne cherchez plus et rejoignez Airbus CyberSecurity !

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.


By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.

Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.",https://fr.indeed.com/rc/clk?jk=4293ba31aa4a33fd&fccid=2d0740e02e80cf22&vjs=3
Data Scientist H/F,Kaisens Data,92400 Courbevoie, -  CDI,38 000 € - 48 000 € par an,"Kaisens Data est un éditeur de solutions logicielles en IA/ Data science avec une filiale de conseil, qui accompagne des sociétés de CAC40 dans les domaines de l’industrie, l’aéronautique, banques et assurances.Afin d’accélérer notre programme de recherche et développement, nous renforçons notre équipe R&D avec l’embauche d’un jeune diplômé Data Scientist ou Data Ingénieur.En tant que Data Scientist, vos missions sont :Concevoir des modélisations statistiques et des algorithmes pour exploiter les donnéesImpulser des démarches innovantes sur des segments à fortes valeurs ajoutéesElaborer des modèles prédictifs afin d’anticiper l’évolution des données et tendances relatives à l’activité de l’entrepriseDévelopper des outils d’analyse et des algorithmes pour améliorer les solutions de recherches et de ciblageModéliser des résultats d’analyse des données pour les rendre lisibles et exploitablesIdentification des axes d’optimisation et des cas d’usages de fonctionnementContributions : Recherche et développement du traitement des données à grand volumeRecrutement d’experts Data afin de compléter l’équipe qui travaille sur le traitement des donnéesAvantages : Salaire selon le profilAvantage en nature tickets restaurant (9 euros par jour) + 50 % frais transportsMutuellePlan épargne salarialePlusieurs possibilités d'évolution de carrière.Niveau d'études minimum : Bac+5Type d'emploi : Temps plein, CDISalaire :  38 000,00 à 48 000,00 par anStatut : CadreType d'emploi : Temps plein, CDIType d'emploi : CDISalaire : 38 000,00€ à 48 000,00€ par anTélétravail:Non",https://fr.indeed.com/company/Kaisens-Data/jobs/Data-Scientist-65a2de5ed645847a?fccid=16cccbf649a1bdd5&vjs=3
DATA SCIENTIST R&D EN MACHINE LEARNING,Ezako,06560 Valbonne," -  Temps plein, CDI",2 500 € - 4 500 € par mois,"DESCRIPTION DE POSTEEzako est une startup innovante spécialisée dans le Big Data et l’intelligence artificielle. Nous sommes installés sur la côte d’azur à Sophia Antipolis. Ezako développe la solution logicielle de Machine Learning Upalgo. Upalgo est une des solutions les plus complètes du marché pour gérer les séries temporelles. Elle incorpore des fonctionnalités de nettoyage de données automatisées, d’augmentation des labels, de sélection d'algorithmes d’IA et de scoring interne.Nous sommes à la recherche d’une personne motivée qui s’intégrera à une équipe en pleine croissance. L’objectif est de participer à l’effort de construction d’une solution innovante avec une part de R&D et une part d’intégration de nouvelles fonctionnalités dans notre logiciel. Dans ce poste, elle sera responsable de multiples interactions avec des labos et universités, ainsi qu’avec des utilisateurs finaux.Le candidat devra s’adapter rapidement au monde industriel, en alternant expériences effectives de datascience sur des dataset clients de séries temporelles, avec des phases de R&D. Les activités consisteront à construire des modèles sur des datasets réels, états de l’Art et implémentation de publications pour des algorithmes spécifiques (transformers, resnet et autres algorithmes de deep learning), implémentation et tests de composants à intégrer dans la solution logicielle. Le code produit devra être de haute qualité, car il sera destiné à la production.*CONNAISSANCES ATTENDUESMaster ou idéalement Doctorat en informatique sur du Machine LearningBonne connaissance des techniques de Machine Learning, classiques, deep et de la datascience en généralExpérience de programmation en pythonExpérience de recherche dans le domaine de l’informatique ou de l’apprentissage machineDes connaissances en séries temporelles (ou timeseries)Capacité à travailler en équipe et autonomie*Statut : CadreType d'emploi : Temps plein, CDISalaire : 2 500,00€ à 4 500,00€ par moisHoraires :Du Lundi au VendrediTélétravail:Temporairement en raison du COVID-19",https://fr.indeed.com/company/Ezako/jobs/Data-Scientist-R-Machine-Learning-cce6b392ac07f366?fccid=728023d63ed10c46&vjs=3
Consultante - Consultant data scientist Sofrecom,Sofrecom,94300 Vincennes,-,-,"Vous accompagnez activement vos clients dans la valorisation de leurs données internes et externes.
Vous intervenez au sein d’un collectif engagé, visant l’efficacité, sur des domaines métiers diversifiés :
Expérience client,Campagnes marketing,Qualité de service et d’expérience sur les réseaux,Planification des déploiements de réseaux (4G, 5G, fibre, réseau de boutiques).

Vous générez pour vos clients des gains d’efficience mesurables, grâce à la précision de vos analyses de données et à la pertinence de vos recommandations.
Vous permettez à vos clients de résoudre leurs problèmes opérationnels et éclairez leurs prises de décision stratégiques.
Vous menez des projets de A à Z autour des données, en mobilisant des équipes projet transverses :
Vous êtes force de proposition dans la mise en place d’infrastructure, de gouvernance et d’outils data et IA adaptés aux besoins métier de vos clients,Vous qualifiez et préparez les sources de données pertinentes pour atteindre vos objectifs,Vous recommandez et mettez en œuvre les solutions analytiques et d’automatisation les plus adaptées aux problématiques de vos clients,Vous évaluez les résultats par rapport aux objectifs de départ.
Votre contribution est clé dans le développement des offres et des méthodologies data et IA de Sofrecom.
about you

Vous avez des compétences dans le domaine de la data science et êtes prêt-e à les développer avec le support du cabinet.
Vous connaissez l’écosystème big data et IA et maîtrisez la chaîne de valeur du traitement de la donnée.
Vous faites preuve de curiosité, vous aimez explorer les données et en identifier le potentiel caché.
Vous aimez travailler avec des équipes techniques spécialisées dans la data (data analysts, data scientists, ingénieurs SI…) comme avec des équipes métier en charge du marketing, de la distribution, de la relation clients ou du réseau.
Vous produisez des supports de présentation impactants, qui appuient votre propos.
Vous maîtrisez un ou plusieurs outils ou langages parmi :
Excel (avancé) et VBA,SQL,Python,BI et dataviz (Power BI, Tableau, Qlik…),Data analytics low-code / autoML (Dataiku, Knime…),Et/ou web analytics (Google Analytics…),Cloud (gcp) ...
Vous parlez couramment anglais et français.
additional information
Un secteur d’activité foisonnant de données,Une forte transversalité avec des interfaces à la fois techniques et métiers,L’opportunité de travailler pour un groupe avec une forte dimension internationale,Un cabinet de conseil à taille humaine avec des managers à votre écoute.

department
Cabinet de conseil spécialiste du développement et de la transformation des opérateurs Télécoms et acteurs institutionnels, de la réflexion stratégique à la mise en œuvre opérationnelle, le groupe Sofrecom est un puissant réseau d’expertises au service de ses clients en Europe, Afrique, Asie et Moyen Orient. Riche de plus de 2000 collaborateurs dont 300 en France, issus de plus de 30 nationalités, le Groupe Sofrecom est implanté dans 11 pays. Etre consultant(e) chez Sofrecom, c’est rejoindre un cabinet de conseil à taille humaine, filiale du groupe Orange, une ambiance de travail conviviale et la possibilité d’intervenir sur des projets variés en France et à l’étranger, au sein d’une équipe dynamique et engagée.
contract
Regular",https://fr.indeed.com/rc/clk?jk=a60a6a9266b414d6&fccid=c345b06b9f22e507&vjs=3
Data Scientist H/F,Saint-Gobain,La Défense (92),CDI,-,"This is a rare opportunity to apply your analytical expertise to a major subject: Making the world a better Home

Saint-Gobain is seeking a Data Scientist to develop advanced algorithm based solutions to deliver transformational insights with value impact on all related businesses of Saint-Gobain and in direct report to the Lead Data Scientist inside the Data Science & AI department.

As the Data Scientist, you will have the opportunity to work with a tremendous and rapidly growing data set generated by all our systems from industry, to distribution.
We are looking for someone that loves breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.
We are looking for a hands-on-data scientist with experience in Statistical and Machine Learning to help us build and integrate data-driven intelligent solution into our business processes. This role will involve a close collaboration with our team of passionate and innovative data specialists, application developers and product managers. This is a unique opportunity to be a member of our global Data Science & AI team, tackling our toughest and most exiting data science challenges across multiple divisions in Saint-Gobain.
In this role, you will:
Be at the heart of the algorithm innovation for Saint-Gobain
Be responsible for the development and successful delivery of end-to-end use cases by developing a deep understanding of business needs
Benchmark, select and implement relevant algorithms and model designs
Generate and transmit data insights to a technical/non-technical audience
Bring new tools & techniques as needed
Contribute to the local recruitment of Data Scientists

REQUIRED QUALIFICATIONS
Masters/PhD in mathematics, statistics, computer science, Physics, Engineering, or other relevant technical Fields
0-3 years of experience in Data Science or other quantitative disciplines
Competency in developing successful analytics-based solutions to business problemsProven ability in solving ambiguous and highly complex data problems.Proficiency using SQL to query large relational databases and ability to build and maintain processes to extract & integrate data from various sourcesFluency with python and all related libraries
Strong Team Player with excellent written and oral communication skills.",https://fr.indeed.com/rc/clk?jk=41cb638c923fcc50&fccid=d7c7bd31a502f022&vjs=3
